Rank,Metropolitan Statistical Area,2015 Estimate,2010 Census,Change,Encompassing Combined Statistical Area
28,"Cincinnati, OH-KY-IN Metropolitan Statistical Area","2157719","2114580",2.04%,"Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
29,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area","2114801","1951269",8.38%,"Las Vegas-Henderson, NV-AZ Combined Statistical Area"
30,"Kansas City, MO-KS Metropolitan Statistical Area","2087471","2009342",3.89%,"Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
31,"Cleveland-Elyria, OH Metropolitan Statistical Area","2060810","2077240",-0.79%,"Cleveland-Akron-Canton, OH Combined Statistical Area"
32,"Columbus, OH Metropolitan Statistical Area","2021632","1901974",6.29%,"Columbus-Marion-Zanesville, OH Combined Statistical Area"
33,"Austin-Round Rock, TX Metropolitan Statistical Area","2000860","1716289",16.58%,
34,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area","1988817","1887877",5.35%,"Indianapolis-Carmel-Muncie, IN Combined Statistical Area"
35,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","1976836","1836911",7.62%,"San Jose-San Francisco-Oakland, CA Combined Statistical Area"
36,"Nashville-Davidson Murfreesboro Franklin, TN Metropolitan Statistical Area","1830345","1670890",9.54%,"Nashville-Davidson Murfreesboro, TN Combined Statistical Area"
37,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","1724876","1676822",2.87%,"Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
38,"Providence-Warwick, RI-MA Metropolitan Statistical Area","1613070","1600852",0.76%,"Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
39,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","1575747","1555908",1.28%,"Milwaukee-Racine-Waukesha, WI Combined Statistical Area"
40,"Jacksonville, FL Metropolitan Statistical Area","1449481","1345596",7.72%,"Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
41,"Oklahoma City, OK Metropolitan Statistical Area","1358452","1252987",8.42%,"Oklahoma City-Shawnee, OK Combined Statistical Area"
42,"Memphis, TN-MS-AR Metropolitan Statistical Area","1344127","1324829",1.46%,"Memphis-Forrest City, TN-MS-AR Combined Statistical Area"
43,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","1278413","1235708",3.46%,"Louisville/Jefferson County Elizabethtown Madison, KY-IN Combined Statistical Area"
44,"Raleigh, NC Metropolitan Statistical Area","1273568","1130490",12.66%,"Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
45,"Richmond, VA Metropolitan Statistical Area","1271334","1208101",5.23%,
46,"New Orleans-Metairie, LA Metropolitan Statistical Area","1262888","1189866",6.14%,"New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
47,"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area","1211324","1212381",-0.09%,"Hartford-West Hartford, CT Combined Statistical Area"
48,"Salt Lake City, UT Metropolitan Statistical Area","1170266","1087873",7.57%,"Salt Lake City-Provo-Orem, UT Combined Statistical Area"
49,"Birmingham-Hoover, AL Metropolitan Statistical Area","1145647","1128047",1.56%,"Birmingham-Hoover-Talladega, AL Combined Statistical Area"
50,"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area","1135230","1135509",-0.02%,"Buffalo-Cheektowaga, NY Combined Statistical Area"
51,"Rochester, NY Metropolitan Statistical Area","1081954","1079671",0.21%,"Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
52,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area","1038583","988938",5.02%,"Grand Rapids-Wyoming-Muskegon, MI Combined Statistical Area"
53,"Tucson, AZ Metropolitan Statistical Area","1010025","980263",3.04%,"Tucson-Nogales, AZ Combined Statistical Area"
54,"Urban Honolulu, HI Metropolitan Statistical Area","998714","953207",4.77%,
55,"Tulsa, OK Metropolitan Statistical Area","981005","937478",4.64%,"Tulsa-Muskogee-Bartlesville, OK Combined Statistical Area"
56,"Fresno, CA Metropolitan Statistical Area","974861","930450",4.77%,"Fresno-Madera, CA Combined Statistical Area"
57,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area","948053","916829",3.41%,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
58,"Worcester, MA-CT Metropolitan Statistical Area","935536","916980",2.02%,"Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
59,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area","915312","865350",5.77%,"Omaha-Council Bluffs-Fremont, NE-IA Combined Statistical Area"
60,"Albuquerque, NM Metropolitan Statistical Area","907301","887077",2.28%,"Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
61,"Bakersfield, CA Metropolitan Statistical Area","882176","839631",5.07%,
62,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area","881830","870716",1.28%,"Albany-Schenectady, NY Combined Statistical Area"
63,"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area","874869","824112",6.16%,"Greenville-Spartanburg-Anderson, SC Combined Statistical Area"
64,"Knoxville, TN Metropolitan Statistical Area","861424","837571",2.85%,"Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
65,"New Haven-Milford, CT Metropolitan Statistical Area","859470","862477",-0.35%,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
66,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area","850536","823318",3.31%,"Los Angeles-Long Beach, CA Combined Statistical Area"
67,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area","842304","774769",8.72%,"McAllen-Edinburg, TX Combined Statistical Area"
68,"El Paso, TX Metropolitan Statistical Area","838972","804123",4.33%,"El Paso-Las Cruces, TX-NM Combined Statistical Area"
69,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area","832327","821173",1.36%,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
70,"Baton Rouge, LA Metropolitan Statistical Area","830480","802484",3.49%,
71,"Columbia, SC Metropolitan Statistical Area","810068","767598",5.53%,"Columbia-Orangeburg-Newberry, SC Combined Statistical Area"
72,"Dayton, OH Metropolitan Statistical Area","800909","799232",0.21%,"Dayton-Springfield-Sidney, OH Combined Statistical Area"
73,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area","768918","702281",9.49%,"North Port-Sarasota, FL Combined Statistical Area"
74,"Greensboro-High Point, NC Metropolitan Statistical Area","752157","723801",3.92%,"Greensboro Winston-Salem High Point, NC Combined Statistical Area"
75,"Charleston-North Charleston, SC Metropolitan Statistical Area","744526","664607",12.03%,
76,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area","731612","699757",4.55%,"Little Rock-North Little Rock, AR Combined Statistical Area"
77,"Stockton-Lodi, CA Metropolitan Statistical Area","726106","685306",5.95%,"San Jose-San Francisco-Oakland, CA Combined Statistical Area"
78,"Akron, OH Metropolitan Statistical Area","704243","703200",0.15%,"Cleveland-Akron-Canton, OH Combined Statistical Area"
79,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area","701982","618754",13.45%,"Cape Coral-Fort Myers-Naples, FL Combined Statistical Area"
80,"Colorado Springs, CO Metropolitan Statistical Area","697856","645613",8.09%,
81,"Boise City, ID Metropolitan Statistical Area","676909","616561",9.79%,"Boise City-Mountain Home-Ontario, ID-OR Combined Statistical Area"
82,"Syracuse, NY Metropolitan Statistical Area","660458","662577",-0.32%,"Syracuse-Auburn, NY Combined Statistical Area"
83,"Winston-Salem, NC Metropolitan Statistical Area","659330","640595",2.92%,"Greensboro Winston-Salem High Point, NC Combined Statistical Area"
84,"Lakeland-Winter Haven, FL Metropolitan Statistical Area","650092","602095",7.97%,
85,"Toledo, OH Metropolitan Statistical Area","646833","651429",-0.71%,"Toledo-Port Clinton, OH Combined Statistical Area"
86,"Wichita, KS Metropolitan Statistical Area","644610","630919",2.17%,"Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
87,"Ogden-Clearfield, UT Metropolitan Statistical Area","642850","597159",7.65%,"Salt Lake City-Provo-Orem, UT Combined Statistical Area"
88,"Madison, WI Metropolitan Statistical Area","641385","605435",5.94%,"Madison-Janesville-Beloit, WI Combined Statistical Area"
89,"Springfield, MA Metropolitan Statistical Area","631982","621570",1.68%,"Springfield-Greenfield Town, MA Combined Statistical Area"
90,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area","623279","590289",5.59%,"Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
91,"Des Moines-West Des Moines, IA Metropolitan Statistical Area","622899","569633",9.35%,"Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
92,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area","590146","564873",4.47%,
93,"Provo-Orem, UT Metropolitan Statistical Area","585799","526810",11.20%,"Salt Lake City-Provo-Orem, UT Combined Statistical Area"
94,"Jackson, MS Metropolitan Statistical Area","578777","567122",2.06%,"Jackson-Vicksburg-Brookhaven, MS Combined Statistical Area"
95,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area","568088","543376",4.55%,
96,"Harrisburg-Carlisle, PA Metropolitan Statistical Area","565006","549475",2.83%,"Harrisburg-York-Lebanon, PA Combined Statistical Area"
97,"Scranton Wilkes-Barre Hazleton, PA Metropolitan Statistical Area","558166","563631",-0.97%,
98,"Durham-Chapel Hill, NC Metropolitan Statistical Area","552493","504357",9.54%,"Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
99,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area","549885","565773",-2.81%,"Youngstown-Warren, OH-PA Combined Statistical Area"
100,"Spokane-Spokane Valley, WA Metropolitan Statistical Area","547924","527753",3.82%,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID Combined Statistical Area"
101,"Chattanooga, TN-GA Metropolitan Statistical Area","547776","528143",3.72%,"Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
102,"Modesto, CA Metropolitan Statistical Area","538388","514453",4.65%,"Modesto-Merced, CA Combined Statistical Area"
103,"Lancaster, PA Metropolitan Statistical Area","536624","519445",3.31%,
104,"Portland-South Portland, ME Metropolitan Statistical Area","526295","514098",2.37%,"Portland-Lewiston-South Portland, ME Combined Statistical Area"
105,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area","513559","463204",10.87%,
106,"Santa Rosa, CA Metropolitan Statistical Area","502146","483878",3.78%,"San Jose-San Francisco-Oakland, CA Combined Statistical Area"
107,"Lexington-Fayette, KY Metropolitan Statistical Area","500535","472099",6.02%,"Lexington-Fayette Richmond Frankfort, KY Combined Statistical Area"
108,"Lafayette, LA Metropolitan Statistical Area","490488","466750",5.09%,"Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
109,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area","478043","448991",6.47%,
110,"Lansing-East Lansing, MI Metropolitan Statistical Area","472276","464036",1.78%,"Lansing-East Lansing-Owosso, MI Combined Statistical Area"
111,"Visalia-Porterville, CA Metropolitan Statistical Area","459863","442179",4.00%,"Visalia-Porterville-Hanford, CA Combined Statistical Area"
112,"Springfield, MO Metropolitan Statistical Area","456456","436712",4.52%,"Springfield-Branson, MO Combined Statistical Area"
113,"Port St. Lucie, FL Metropolitan Statistical Area","454846","424107",7.25%,"Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
114,"Corpus Christi, TX Metropolitan Statistical Area","452422","428185",5.66%,"Corpus Christi-Kingsville-Alice, TX Combined Statistical Area"
115,"Reno, NV Metropolitan Statistical Area","450890","425417",5.99%,"Reno-Carson City-Fernley, NV Combined Statistical Area"
116,"Asheville, NC Metropolitan Statistical Area","446840","424858",5.17%,"Asheville-Brevard, NC Combined Statistical Area"
117,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area","444769","423895",4.92%,
118,"Huntsville, AL Metropolitan Statistical Area","444752","417593",6.50%,"Huntsville-Decatur-Albertville, AL Combined Statistical Area"
119,"Shreveport-Bossier City, LA Metropolitan Statistical Area","443708","439811",0.89%,
120,"York-Hanover, PA Metropolitan Statistical Area","442867","434972",1.82%,"Harrisburg-York-Lebanon, PA Combined Statistical Area"
121,"Vallejo-Fairfield, CA Metropolitan Statistical Area","436092","413344",5.50%,"San Jose-San Francisco-Oakland, CA Combined Statistical Area"
122,"Salinas, CA Metropolitan Statistical Area","433898","415057",4.54%,
123,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area","431964","376722",14.66%,"Myrtle Beach-Conway, SC-NC Combined Statistical Area"
124,"Killeen-Temple, TX Metropolitan Statistical Area","431032","405300",6.35%,
125,"Fort Wayne, IN Metropolitan Statistical Area","429820","416257",3.26%,"Fort Wayne-Huntington-Auburn, IN Combined Statistical Area"
126,"Brownsville-Harlingen, TX Metropolitan Statistical Area","422156","406220",3.92%,"Brownsville-Harlingen-Raymondville, TX Combined Statistical Area"
127,"Mobile, AL Metropolitan Statistical Area","415395","412992",0.58%,"Mobile-Daphne-Fairhope, AL Combined Statistical Area"
128,"Reading, PA Metropolitan Statistical Area","415271","411442",0.93%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
129,"Flint, MI Metropolitan Statistical Area","410849","425790",-3.51%,"Detroit-Warren-Ann Arbor, MI Combined Statistical Area"
130,"Salem, OR Metropolitan Statistical Area","410091","390738",4.95%,"Portland-Vancouver-Salem, OR-WA Combined Statistical Area"
131,"Beaumont-Port Arthur, TX Metropolitan Statistical Area","408419","403190",1.30%,
132,"Manchester-Nashua, NH Metropolitan Statistical Area","406678","400721",1.49%,"Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
133,"Canton-Massillon, OH Metropolitan Statistical Area","402976","404422",-0.36%,"Cleveland-Akron-Canton, OH Combined Statistical Area"
134,"Anchorage, AK Metropolitan Statistical Area","399790","380821",4.98%,
135,"Salisbury, MD-DE Metropolitan Statistical Area","395300","373802",5.75%,
136,"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area","389255","370702",5.00%,
137,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area","383606","379690",1.03%,"Davenport-Moline, IA-IL Combined Statistical Area"
138,"Savannah, GA Metropolitan Statistical Area","379199","347611",9.09%,"Savannah-Hinesville-Statesboro, GA Combined Statistical Area"
139,"Peoria, IL Metropolitan Statistical Area","378018","379186",-0.31%,"Peoria-Canton, IL Combined Statistical Area"
140,"Tallahassee, FL Metropolitan Statistical Area","377924","367413",2.86%,"Tallahassee-Bainbridge, FL-GA Combined Statistical Area"
141,"Fayetteville, NC Metropolitan Statistical Area","376509","366383",2.76%,"Fayetteville-Lumberton-Laurinburg, NC Combined Statistical Area"
142,"Montgomery, AL Metropolitan Statistical Area","373792","374536",-0.20%,
143,"Trenton, NJ Metropolitan Statistical Area","371398","366513",1.33%,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
144,"Eugene, OR Metropolitan Statistical Area","362895","351715",3.18%,
145,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","362510","365497",-0.82%,"Hickory-Lenoir, NC Combined Statistical Area"
146,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area","361580","364908",-0.91%,"Charleston-Huntington-Ashland, WV-OH-KY Combined Statistical Area"
147,"Ann Arbor, MI Metropolitan Statistical Area","358880","344791",4.09%,"Detroit-Warren-Ann Arbor, MI Combined Statistical Area"
148,"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area","357305","321520",11.13%,"Cape Coral-Fort Myers-Naples, FL Combined Statistical Area"
149,"Ocala, FL Metropolitan Statistical Area","343254","331298",3.61%,
150,"Rockford, IL Metropolitan Statistical Area","340663","349431",-2.51%,"Rockford-Freeport-Rochelle, IL Combined Statistical Area"
151,"Kalamazoo-Portage, MI Metropolitan Statistical Area","335340","326589",2.68%,"Kalamazoo-Battle Creek-Portage, MI Combined Statistical Area"
152,"Fort Collins, CO Metropolitan Statistical Area","333577","299630",11.33%,
153,"Spartanburg, SC Metropolitan Statistical Area","325079","313268",3.77%,"Greenville-Spartanburg-Anderson, SC Combined Statistical Area"
154,"Lincoln, NE Metropolitan Statistical Area","323578","302157",7.09%,"Lincoln-Beatrice, NE Combined Statistical Area"
155,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area","320098","319224",0.27%,"South Bend-Elkhart-Mishawaka, IN-MI Combined Statistical Area"
156,"Boulder, CO Metropolitan Statistical Area","319372","294567",8.42%,"Denver-Aurora, CO Combined Statistical Area"
157,"Green Bay, WI Metropolitan Statistical Area","316519","306241",3.36%,"Green Bay-Shawano, WI Combined Statistical Area"
158,"Evansville, IN-KY Metropolitan Statistical Area","315693","311552",1.33%,
159,"Roanoke, VA Metropolitan Statistical Area","314560","308707",1.90%,
160,"Columbus, GA-AL Metropolitan Statistical Area","313749","294865",6.40%,"Columbus-Auburn-Opelika, GA-AL Combined Statistical Area"
161,"Lubbock, TX Metropolitan Statistical Area","311154","290805",7.00%,"Lubbock-Levelland, TX Combined Statistical Area"
162,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area","307120","309544",-0.78%,"Johnson City-Kingsport-Bristol, TN-VA Combined Statistical Area"
163,"Utica-Rome, NY Metropolitan Statistical Area","295600","299397",-1.27%,
164,"Greeley, CO Metropolitan Statistical Area","285174","252825",12.80%,"Denver-Aurora, CO Combined Statistical Area"
165,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area","281401","269637",4.36%,
166,"Clarksville, TN-KY Metropolitan Statistical Area","281021","260625",7.83%,
167,"Fort Smith, AR-OK Metropolitan Statistical Area","280241","280467",-0.08%,
168,"Duluth, MN-WI Metropolitan Statistical Area","279601","279771",-0.06%,
169,"Kennewick-Richland, WA Metropolitan Statistical Area","279116","253340",10.17%,
170,"Erie, PA Metropolitan Statistical Area","278045","280566",-0.90%,"Erie-Meadville, PA Combined Statistical Area"
171,"Wilmington, NC Metropolitan Statistical Area","277969","254884",9.06%,
172,"Gainesville, FL Metropolitan Statistical Area","277163","264275",4.88%,"Gainesville-Lake City, FL Combined Statistical Area"
173,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area","274219","274549",-0.12%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
174,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area","274146","262382",4.48%,"San Jose-San Francisco-Oakland, CA Combined Statistical Area"
175,"Norwich-New London, CT Metropolitan Statistical Area","271863","274055",-0.80%,"Hartford-West Hartford, CT Combined Statistical Area"
176,"Laredo, TX Metropolitan Statistical Area","269721","250304",7.76%,
177,"Olympia-Tumwater, WA Metropolitan Statistical Area","269536","252264",6.85%,"Seattle-Tacoma, WA Combined Statistical Area"
178,"Merced, CA Metropolitan Statistical Area","268455","255793",4.95%,"Modesto-Merced, CA Combined Statistical Area"
179,"Cedar Rapids, IA Metropolitan Statistical Area","266040","257940",3.14%,"Cedar Rapids-Iowa City, IA Combined Statistical Area"
180,"Waco, TX Metropolitan Statistical Area","262813","252772",3.97%,
181,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area","262172","235865",11.15%,
182,"Amarillo, TX Metropolitan Statistical Area","262056","251933",4.02%,"Amarillo-Borger, TX Combined Statistical Area"
183,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area","261486","251599",3.93%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
184,"Bremerton-Silverdale, WA Metropolitan Statistical Area","260131","251133",3.58%,"Seattle-Tacoma, WA Combined Statistical Area"
185,"Lynchburg, VA Metropolitan Statistical Area","259950","252634",2.90%,
186,"Sioux Falls, SD Metropolitan Statistical Area","251854","228261",10.34%,
187,"College Station-Bryan, TX Metropolitan Statistical Area","249156","228660",8.96%,
188,"Yakima, WA Metropolitan Statistical Area","248830","243231",2.30%,
189,"Binghamton, NY Metropolitan Statistical Area","246020","251725",-2.27%,
190,"Tuscaloosa, AL Metropolitan Statistical Area","239908","230162",4.23%,
191,"Champaign-Urbana, IL Metropolitan Statistical Area","238984","231891",3.06%,
192,"Fargo, ND-MN Metropolitan Statistical Area","233836","208777",12.00%,"Fargo-Wahpeton, ND-MN Combined Statistical Area"
193,"Topeka, KS Metropolitan Statistical Area","233791","233870",-0.03%,
194,"Appleton, WI Metropolitan Statistical Area","233007","225666",3.25%,"Appleton-Oshkosh-Neenah, WI Combined Statistical Area"
195,"Macon, GA Metropolitan Statistical Area","230096","232293",-0.95%,"Macon-Warner Robins, GA Combined Statistical Area"
196,"Charlottesville, VA Metropolitan Statistical Area","229514","218705",4.94%,
197,"Chico, CA Metropolitan Statistical Area","225411","220000",2.46%,
198,"Tyler, TX Metropolitan Statistical Area","222936","209714",6.30%,"Tyler-Jacksonville, TX Combined Statistical Area"
199,"Prescott, AZ Metropolitan Statistical Area","222255","211033",5.32%,
200,"Charleston, WV Metropolitan Statistical Area","220614","227078",-2.85%,"Charleston-Huntington-Ashland, WV-OH-KY Combined Statistical Area"
201,"Longview, TX Metropolitan Statistical Area","217781","214369",1.59%,"Longview-Marshall, TX Combined Statistical Area"
202,"Burlington-South Burlington, VT Metropolitan Statistical Area","214363","211261",1.47%,
203,"Lafayette-West Lafayette, IN Metropolitan Statistical Area","214363","201789",6.23%,"Lafayette-West Lafayette-Frankfort, IN Combined Statistical Area"
204,"Barnstable Town, MA Metropolitan Statistical Area","214333","215888",-0.72%,"Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
205,"Las Cruces, NM Metropolitan Statistical Area","214295","209233",2.42%,"El Paso-Las Cruces, TX-NM Combined Statistical Area"
206,"Rochester, MN Metropolitan Statistical Area","213873","206877",3.38%,"Rochester-Austin, MN Combined Statistical Area"
207,"Medford, OR Metropolitan Statistical Area","212567","203206",4.61%,"Medford-Grants Pass, OR Combined Statistical Area"
208,"Houma-Thibodaux, LA Metropolitan Statistical Area","212297","208178",1.98%,
209,"Bellingham, WA Metropolitan Statistical Area","212284","201140",5.54%,
210,"Springfield, IL Metropolitan Statistical Area","211156","210170",0.47%,"Springfield-Jacksonville-Lincoln, IL Combined Statistical Area"
211,"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area","207413","187010",10.91%,
212,"Florence, SC Metropolitan Statistical Area","206448","205566",0.43%,
213,"Lake Charles, LA Metropolitan Statistical Area","205605","199607",3.00%,
214,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area","204737","200186",2.27%,"Las Vegas-Henderson, NV-AZ Combined Statistical Area"
215,"Yuma, AZ Metropolitan Statistical Area","204275","195751",4.35%,
216,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area","203709","182265",11.77%,"Mobile-Daphne-Fairhope, AL Combined Statistical Area"
217,"Elkhart-Goshen, IN Metropolitan Statistical Area","203474","197559",2.99%,"South Bend-Elkhart-Mishawaka, IN-MI Combined Statistical Area"
218,"Athens-Clarke County, GA Metropolitan Statistical Area","203189","192541",5.53%,"Atlanta Athens-Clarke County Sandy Springs, GA Combined Statistical Area"
219,"Johnson City, TN Metropolitan Statistical Area","200648","198716",0.97%,"Johnson City-Kingsport-Bristol, TN-VA Combined Statistical Area"
220,"Panama City, FL Metropolitan Statistical Area","197506","184715",6.92%,
221,"Racine, WI Metropolitan Statistical Area","195080","195408",-0.17%,"Milwaukee-Racine-Waukesha, WI Combined Statistical Area"
222,"St. Cloud, MN Metropolitan Statistical Area","194418","189093",2.82%,"Minneapolis-St. Paul, MN-WI Combined Statistical Area"
